year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2006,2006-05-31,HUNGRY UNIT 1,0.004337415,40.12313304,-120.6534343,,,,Plumas,CALFIRE,FALSE
2006,2006-06-01,HUNGRY UNIT 1,0.004337415,40.12313304,-120.6534343,,,,Plumas,CALFIRE,FALSE
2019,2019-03-24,,0.01,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-16,,0.01,38.92,-121.003,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-04-16,,0.02,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2015,2015-01-16,,0.05,39.0525,-120.6167,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-01-14,,0.05,37.03137044,-117.3414087,Hand Pile,,,Inyo,PFIRS,FALSE
2016,2016-01-19,,0.05,37.03137044,-117.3414087,Hand Pile,,,Inyo,PFIRS,FALSE
2016,2016-05-17,,0.05,39.201301,-120.812225,Broadcast,,,Placer,PFIRS,FALSE
2016,2016-05-20,,0.05,39.201301,-120.812225,Machine Pile,,,Placer,PFIRS,FALSE
2016,2016-05-21,,0.05,39.201301,-120.812225,Broadcast,,,Placer,PFIRS,FALSE
2016,2016-05-23,,0.05,39.201301,-120.812225,Broadcast,,,Placer,PFIRS,FALSE
2017,2017-05-09,,0.05,34.493703,-119.800162,Hand Pile,,,Santa Barbara,PFIRS,FALSE
2019,2019-02-01,,0.05,38.92,-121.003,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-08,,0.05,38.92,-121.003,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-13,,0.05,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-27,,0.05,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-04-05,,0.05,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-09,,0.05,38.956,-120.931,Hand Pile,,,El Dorado,PFIRS,FALSE
2015,2015-03-02,,0.07,39.2675,-120.1375,UNK,,,Placer,PFIRS,FALSE
2017,2017-10-20,WAWONA PILE,0.079639636,37.54166664,-119.65,,,,Mariposa,CALFIRE,FALSE
2017,2017-11-03,WAWONA PILE 2,0.079639666,37.54165867,-119.649999,,,,Mariposa,CALFIRE,FALSE
2018,2018-12-19,SOLDIER MT HANDPILES UNIT 2,0.081788838,41.05700146,-121.5486792,,,,Shasta,CALFIRE,FALSE
2013,2013-01-25,,0.1,39.28020457,-120.1205206,UNK,,,Placer,PFIRS,FALSE
2013,2013-04-18,,0.1,36.993333,-117.346944,Broadcast,,,Inyo,PFIRS,FALSE
2013,2013-12-18,,0.1,38.799651,-120.036535,Hand Pile,,,El Dorado,PFIRS,FALSE
2014,2014-12-05,,0.1,39.386783,-120.096967,Hand Pile,,,Nevada,PFIRS,FALSE
2016,2016-01-19,,0.1,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-01-21,,0.1,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-01-22,,0.1,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-03,,0.1,39.06715,-120.9705,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-04,,0.1,39.06471,-120.97339,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-10,,0.1,39.06471,-120.97339,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-10,,0.1,39.06715,-120.9705,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-05-13,,0.1,39.201301,-120.812225,Broadcast,,,Placer,PFIRS,FALSE
2017,2017-01-05,,0.1,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2017,2017-01-06,,0.1,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2017,2017-01-25,,0.1,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2017,2017-02-06,,0.1,39.845718,-121.702139,Broadcast,,,Butte,PFIRS,FALSE
2017,2017-03-13,,0.1,38.96653,-121.02605,Hand Pile,,,Placer,PFIRS,FALSE
2017,2017-07-05,,0.1,38.81512312,-120.941034,Broadcast,,,El Dorado,PFIRS,FALSE
2017,2017-11-15,,0.1,38.87859421,-121.0345745,Hand Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-16,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-17,,0.1,38.81512312,-120.941034,Hand Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-21,,0.1,38.81512312,-120.941034,Hand Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-25,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-26,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2017,2017-11-28,,0.1,38.92054891,-121.0034609,Hand Pile,,,Placer,PFIRS,FALSE
2017,2017-11-29,,0.1,38.92054891,-121.0034609,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-01-05,,0.1,38.92054891,-121.0034609,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-01-12,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2018,2018-01-14,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2018,2018-01-14,,0.1,39.197329,-120.813726,Machine Pile,,,Placer,PFIRS,FALSE
2018,2018-01-15,,0.1,38.81512312,-120.941034,Machine Pile,,,El Dorado,PFIRS,FALSE
2018,2018-01-16,,0.1,39.197329,-120.813726,Machine Pile,,,Placer,PFIRS,FALSE
2018,2018-01-19,,0.1,39.28086,-120.11991,Machine Pile,,,Placer,PFIRS,FALSE
2018,2018-02-06,,0.1,38.90428081,-121.056118,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-02-13,,0.1,39.025966,-120.805183,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-02-27,,0.1,39.25840951,-120.017159,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-02-28,,0.1,38.94110765,-120.9786129,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-06,,0.1,38.94110765,-120.9786129,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-07,,0.1,39.25840951,-120.017159,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-08,,0.1,38.94110765,-120.9786129,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-03-09,,0.1,38.94110765,-120.9786129,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-04-02,,0.1,39.25840951,-120.017159,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-04-04,,0.1,39.24937055,-120.0232959,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-04-09,,0.1,38.19718,-120.366941,Hand Pile,,,Calaveras,PFIRS,FALSE
2018,2018-04-12,,0.1,38.92086527,-121.0399818,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-05-24,,0.1,39.28086,-120.11991,Broadcast,,,Placer,PFIRS,FALSE
2018,2018-12-11,,0.1,37.777,-119.103,Hand Pile,,,Mono,PFIRS,FALSE
2018,2018-12-13,,0.1,39.280877,-120.11968,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-02,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-03,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-05,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-09,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-10,,0.1,38.878,-121.034,Hand Pile,,,El Dorado,PFIRS,FALSE
2019,2019-01-10,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-29,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-05,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-12,,0.1,38.92,-121.003,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-28,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-05,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-07,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-08,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-12,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-20,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-03-28,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-04-09,,0.1,38.878,-121.034,Hand Pile,,,El Dorado,PFIRS,FALSE
2019,2019-05-18,,0.1,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-03,,0.1,39.3959,-122.174172,Hand Pile,,,Glenn,PFIRS,FALSE
2019,2019-12-04,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-05,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-10,,0.1,38.869,-121.058,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-11,,0.1,38.869,-121.058,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-11,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-12,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-13,,0.1,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2018,2018-12-19,SOLDIER MT HANDPILES UNIT 3,0.114186689,41.05393627,-121.5574047,,,,Shasta,CALFIRE,FALSE
2020,2019-10-15,NA,0.131121069,39.74440652,-120.9607927,,,,Plumas,CALFIRE,FALSE
1981,1981-10-06,LOWER GANNS,0.144433975,41.27895626,-124.009903,,,,Humboldt,CALFIRE,FALSE
2013,2013-03-27,,0.15,39.06474,-120.97193,UNK,,,Placer,PFIRS,FALSE
2018,2018-12-22,,0.15,38.878,-121.034,Hand Pile,,,El Dorado,PFIRS,FALSE
2018,2018-12-26,,0.15,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-15,,0.15,38.953,-120.987,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-01-31,,0.15,38.953,-120.987,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-07,,0.15,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-02-15,,0.15,38.955,-120.955,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-05-17,,0.15,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2020,2019-10-15,NA,0.157818899,39.72414985,-120.968361,,,,Plumas,CALFIRE,FALSE
1991,1991-11-07,TRIBOGY,0.184027731,41.16625435,-123.9155936,,,,Humboldt,CALFIRE,FALSE
1981,1991-11-08,Unknown (Jay or Lion),0.188483566,36.47858492,-121.2132136,,,,San Benito,CALFIRE,FALSE
1985,1985-10-04,STAGECOACH,0.195368424,41.16400156,-123.906479,,,,Humboldt,CALFIRE,FALSE
1989,1989-10-13,STAGECOACH,0.195368424,41.16400156,-123.906479,,,,Humboldt,CALFIRE,FALSE
1992,1992-10-27,STAGECOACH,0.199602276,41.1640036,-123.9064775,,,,Humboldt,CALFIRE,FALSE
2015,2015-02-05,,0.2,39.0525,-120.6167,Hand Pile,,,Placer,PFIRS,FALSE
2015,2015-12-03,,0.2,39.201301,-120.812225,Machine Pile,,,Placer,PFIRS,FALSE
2016,2016-04-05,,0.2,39.06471,-120.97339,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-05,,0.2,39.06715,-120.9705,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-25,,0.2,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
2016,2016-04-28,,0.2,39.28072,-120.11967,Hand Pile,,,Placer,PFIRS,FALSE
