year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2020,2020-06-22,2020 MKWC,306.2475586,41.30002382,-123.5506163,,,HUU,Humboldt-Del Norte,CALFIRE,TRUE
2020,2020-02-10,2020 MKWC,306.2475586,41.30002382,-123.5506163,,,HUU,Humboldt-Del Norte,CALFIRE,TRUE
2020,2020-02-21,Lake Assist,4003.44043,38.89210133,-122.8479789,,,LNU,Sonoma-Lake-Napa,CALFIRE,TRUE
2020,2020-06-16,2020 C-234 Burn,295.9005432,39.01065928,-122.1608546,,,LNU,Sonoma-Lake-Napa,CALFIRE,TRUE
2020,2020-01-07,N-05-19 Ukiah Eastside Rx Fire,570.0073242,39.19965622,-123.1323986,,,MEU,Mendocino,CALFIRE,TRUE
2020,2020-02-18,N-05-19 Ukiah Westside Rx Fire,570.1166382,39.13698909,-123.253794,,,MEU,Mendocino,CALFIRE,TRUE
2020,2020-06-05,Long Training Burn,150.2368469,37.44914532,-119.9876161,,,MMU,Madera-Mariposa-Merced,CALFIRE,TRUE
2020,2020-06-01,Fire School,600.8303223,33.3279835,-117.369689,,,ORC,Orange,CALFIRE,TRUE
2020,2020-05-21,Lake Matthews FMU Broadcast Burn,929.5113525,33.84578251,-117.3971046,,,RRU,Riverside,CALFIRE,TRUE
2020,2020-05-12,Santa Rosa Rx Burns,214.4972992,33.51413545,-117.2919998,,,RRU,Riverside,CALFIRE,TRUE
2020,2020-11-03,Lower Klamath RX,2452.793945,41.9289826,-121.6980407,,,SKU,Siskiyou,CALFIRE,TRUE
2020,2020-11-03,Butte Valley Rx,453.9128418,41.8498454,-122.1005927,,,SKU,Siskiyou,CALFIRE,TRUE
2020,2020-05-11,2020 C234 CAMP ROBERTS,1208.195435,35.84019729,-120.7430886,,,SLU,San Luis Obispo,CALFIRE,TRUE
2020,2020-03-04,Range Improvement Burns,544.5007324,35.3538634,-120.7134969,,,SLU,San Luis Obispo,CALFIRE,TRUE
2020,2020-06-30,Range Improvement Burns,544.5007324,35.3538634,-120.7134969,,,SLU,San Luis Obispo,CALFIRE,TRUE
2020,2020-08-11,Gilardi Burn 2020,502.9273987,35.34922622,-120.7592052,,,SLU,San Luis Obispo,CALFIRE,TRUE
2020,2020-02-01,2020-Winton Broadcast Burn,6311.958984,38.4263139,-120.4432685,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2020,2020-02-01,South Park Broadcast Burn,469.3832092,38.2370369,-120.2460568,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2020,2020-04-01,2020-New Hogan VMP,537.7230225,38.14012136,-120.8280475,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2020,2020-06-11,PAWS Broadcast Burn,167.0870972,38.19463885,-120.7045644,,,TCU,Tuolumne-Calaveras,CALFIRE,TRUE
2020,2020-02-10,PCSC Unit 1 RX Burn,248.6121979,40.33597646,-121.8574302,,,TGU,Tehama-Glenn,CALFIRE,TRUE
2020,2020-02-24,TURRI VMP Broadcast Burn Unit 2,183.5526733,39.93440826,-122.5641281,,,TGU,Tehama-Glenn,CALFIRE,TRUE
2020,2020-01-01,Lower Lyons Rx,143.720108,41.13248678,-123.9073103,,,RWP,,CALFIRE,TRUE
2017,2018-02-14,FEBRUARY 2018 PRESCRIBED FIRE,723.7302246,38.86714597,-123.1768242,,,MEU,Mendocino,CALFIRE,TRUE
2017,2018-02-14,FEBRUARY 2018 PRESCRIBED FIRE,3090.573242,39.66413759,-123.4155148,,,MEU,Mendocino,CALFIRE,TRUE
2017,2018-02-08,FEBRUARY 2018 PRESCRIBED FIRE,1266.942017,39.67890031,-123.3237913,,,MEU,Mendocino,CALFIRE,TRUE
2017,2017-05-22,BURN AREAS 16/17,169.0697174,37.21784116,-119.9815905,,,MMU,Madera-Mariposa-Merced,CALFIRE,TRUE
2017,2017-10-30,2017 FALL BURN,242.4971924,38.90255083,-120.6544188,,,AEU,Amador-El Dorado,CALFIRE,TRUE
2017,2017-11-07,NOVEMBER 2017 PRESCRIBED FIRE,158.0157318,39.64891389,-123.4046153,,,MEU,Mendocino,CALFIRE,TRUE
2017,2017-10-02,Black UB B1 (Bull) & (Bull KV),172.4713135,40.71442304,-121.1750581,,,LNF,,CALFIRE,TRUE
2017,2017-05-16,,385.7943726,39.29111276,-122.9323935,,,MNF,,CALFIRE,TRUE
2017,2017-05-26,,724.1168823,36.10680496,-118.5338835,,,SQF,,CALFIRE,TRUE
2015,2015-05-25,West Batchlor,269.019989,33.60034342,-117.0547284,,,RRU,Riverside,CALFIRE,TRUE
2014,2014-12-01,REVISED ICE,108.8888855,35.70176218,-118.5611498,,,SQF,,CALFIRE,TRUE
2014,2014-12-01,REVISED ICE,108.8888855,35.70176218,-118.5611498,,,SQF,,CALFIRE,TRUE
1981,1981-01-01,Unknown (Jay or Lion),126.7720184,36.47392568,-121.1768839,,,PIP,,CALFIRE,TRUE
