year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,fire_type
1984,3/29/1984,FK 1817,1462,36.074,-120.188,,,,Fresno,MTBS,WILDFIRE
1984,5/26/1984,WOODROW,1118,35.611,-118.446,,,,Kern,MTBS,WILDFIRE
1984,6/24/1984,SALT SPRING,4837,38.004,-120.647,,,,Calaveras,MTBS,WILDFIRE
1984,7/5/1984,PACHECO 2,1231,36.883,-121.158,,,,Merced,MTBS,WILDFIRE
1984,7/7/1984,BODFISH,23189,35.579,-118.388,,,,Kern,MTBS,WILDFIRE
1984,8/29/1984,BAR-O,2987,36.406,-118.848,,,,Tulare,MTBS,WILDFIRE
1984,5/12/1984,STODDARD 2,2458,34.701,-117.075,,,,San Bernardino,MTBS,WILDFIRE
1984,7/5/1984,TURTLE,3979,40.078,-120.066,,,,Lassen,MTBS,WILDFIRE
1984,7/6/1984,TWIN,21476,40.691,-120.022,,,,Lassen,MTBS,WILDFIRE
1984,8/9/1984,EAGLE,1734,41.26,-120.12,,,,Modoc,MTBS,WILDFIRE
1984,7/12/1984,LOWERY,2868,39.981,-122.591,,,,Tehama,MTBS,WILDFIRE
1984,10/24/1984,CLARK VALLEY,1470,39.392,-122.451,,,,Glenn,MTBS,WILDFIRE
1984,9/7/1984,BRUSHY,2795,40.011,-121.817,,,,Tehama,MTBS,WILDFIRE
1984,5/7/1984,MINUTEMAN,3159,34.807,-120.501,,,,Santa Barbara,MTBS,WILDFIRE
1984,7/2/1984,BIDWELL,6012,39.784,-121.696,,,,Butte,MTBS,WILDFIRE
1984,5/25/1984,OIL FIELDS,1136,36.26,-120.317,,,,Fresno,MTBS,WILDFIRE
1984,8/10/1984,BLUE,1977,34.905,-119.286,,,,Kern,MTBS,WILDFIRE
1984,5/29/1984,SHANNON FIRE,3554,34.552,-118.183,,,,Los Angeles,MTBS,WILDFIRE
1984,5/21/1984,COTTONWOOD,1409,37.098,-121.162,,,,Merced,MTBS,WILDFIRE
1984,4/21/1984,PROCTOR,3021,32.682,-116.886,,,,San Diego,MTBS,WILDFIRE
